id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18928894,Bed and breakfast in New Orleans · 1 bedroom · 2 beds · 1 private bath,130923573,Em,,Treme - Lafitte,29.97279,-90.07634,Private room,200,30,0,,,7,0,0,136230
18943807,Rental unit in New Orleans · ★4.58 · 2 bedrooms · 2 beds · 1 shared bath,128703225,Mary,,East Carrollton,29.94861,-90.12261,Private room,43,30,28,2018-07-18,0.39,1,0,0,17STR-09551
18959047,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 1 bath,131831473,Janice,,St. Roch,29.9859,-90.04928,Entire home/apt,160,30,10,2020-02-26,0.14,2,365,0,17STR-11568
18971792,Bed and breakfast in New Orleans · 2 bedrooms · 2 beds · 1 shared bath,130923573,Em,,Treme - Lafitte,29.9743,-90.07587,Private room,209,30,1,2019-01-01,0.02,7,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18992861,Bed and breakfast in New Orleans · 2 bedrooms · 2 beds · 1 private bath,130923573,Em,,Treme - Lafitte,29.97241,-90.07591,Private room,350,30,2,2019-03-03,0.04,7,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18993220,Bed and breakfast in New Orleans · ★5.0 · 2 bedrooms · 1 bed · 1 private bath,130923573,Em,,Treme - Lafitte,29.97244,-90.07495,Private room,179,30,4,2019-01-01,0.06,7,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18999140,Home in New Orleans · ★4.75 · 3 bedrooms · 7 beds · 2 baths,66925019,Bianka,,Seventh Ward,29.9737,-90.05863,Entire home/apt,122,30,109,2022-10-23,1.45,13,90,4,"19STR-04317, 19-OSTR-0364"
19016073,Home in New Orleans · ★4.75 · 4 bedrooms · 7 beds · 2 baths,66925019,Bianka,,Seventh Ward,29.97372,-90.05883,Entire home/apt,128,30,96,2023-04-17,1.28,13,90,7,"18STR-18367, 19-OSTR-0364"
19032418,Home in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,130485266,Keith,,Tulane - Gravier,29.9622,-90.08148,Private room,67,2,77,2023-04-27,1.01,4,70,15,"22-rstr-04007, 23-ostr-05277"
19034190,Home in New Orleans · ★4.98 · 3 bedrooms · 3 beds · 2 baths,55270443,Aminata And Ben,,Seventh Ward,29.97484,-90.07005,Entire home/apt,225,2,176,2023-08-09,2.33,2,199,21,"21-RSTR-03845, 20-OSTR-01985"
19055060,Rental unit in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1 bath,10979295,Emily & Mike,,Mid-City,29.97399,-90.1043,Entire home/apt,100,4,110,2022-05-09,1.46,1,0,0,"17STR-13670, 19-OSTR-0000"
19073532,Rental unit in New Orleans · ★4.61 · 2 bedrooms · 3 beds · 1.5 baths,103441877,Dev,,Marigny,29.96695,-90.0584,Entire home/apt,148,30,83,2019-12-09,1.11,8,365,0,17STR-12439
19122592,Rental unit in New Orleans · ★4.57 · 1 bedroom · 2 beds · 1 bath,103441877,Dev,,Lower Garden District,29.94122,-90.07019,Entire home/apt,104,2,133,2023-07-03,1.81,8,235,26,"18STR-17765, 20-OSTR-1949"
19122693,Rental unit in New Orleans · ★4.59 · 2 bedrooms · 3 beds · 1.5 baths,103441877,Dev,,Lower Garden District,29.94122,-90.07019,Entire home/apt,148,2,137,2023-07-16,1.90,8,262,24,"17STR-17963, 20-OSTR-1949"
19136161,Guest suite in New Orleans · ★4.88 · 3 bedrooms · 3 beds · 2 baths,5213449,Barbara,,Garden District,29.92516,-90.08722,Entire home/apt,295,3,49,2023-05-22,0.69,1,0,5,"17STR-13715, 20-OSTR-0631"
19143671,Home in New Orleans · ★4.96 · 1 bedroom · 1 bed · 1 private bath,35419915,Sharon,,Audubon,29.92781,-90.13092,Private room,194,30,143,2023-08-19,1.95,1,101,19,"19STR-21688, 19-OSTR-1234"
19163475,Home in New Orleans · ★4.88 · 5 bedrooms · 7 beds · 3 baths,110887182,Stay Redamo Vacation Rentals,,Tulane - Gravier,29.96654,-90.08243,Entire home/apt,568,30,147,2023-07-30,2.02,9,41,14,"19STR-17065, 20OSTR-28394"
19179801,Home in New Orleans · ★5.0 · 2 bedrooms · 1 bed · 1 bath,72090227,Samantha,,Central City,29.94212,-90.08078,Entire home/apt,161,3,5,2023-07-03,0.61,1,285,5,"22RSTR-03126, 22-OSTR-13870"
19181946,Rental unit in New Orleans · ★4.67 · 1 bedroom · 2 beds · 1 bath,103441877,Dev,,Lower Garden District,29.94122,-90.07019,Entire home/apt,88,2,153,2023-07-23,2.15,8,149,39,"17STR-18093, 20-OSTR-1949"
19182011,Rental unit in New Orleans · ★4.75 · 2 bedrooms · 2 beds · 1 bath,103441877,Dev,,Lower Garden District,29.94122,-90.07019,Entire home/apt,100,2,133,2023-06-25,1.85,8,207,24,"18STR-17767, 20-OSTR-1949"
19182096,Rental unit in New Orleans · ★4.73 · 2 bedrooms · 3 beds · 1 bath,103441877,Dev,,Lower Garden District,29.94122,-90.07019,Entire home/apt,100,3,143,2023-06-25,2.00,8,151,27,"17STR-19340, 20-OSTR-1949"
19192861,Rental unit in New Orleans · ★4.96 · 2 bedrooms · 3 beds · 2 baths,110673958,John,,East Carrollton,29.93972,-90.12984,Entire home/apt,350,2,77,2023-08-18,1.06,1,210,18,"23NSTR-13945, 23-OSTR-11346"
19204987,Rental unit in New Orleans · ★4.85 · 2 bedrooms · 3 beds · 1 bath,66743917,Heather,,Freret,29.93438,-90.10669,Entire home/apt,123,1,209,2023-08-20,2.82,1,212,31,"22-RSTR-16879, 22-OSTR-15878"
19223541,Condo in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,80100557,Alex And Ana,,Central City,29.93571,-90.07682,Entire home/apt,155,30,12,2018-05-09,0.16,1,0,0,17STR-13136
19240544,Home in New Orleans · ★4.97 · 1 bedroom · 2 beds · 1 bath,134708838,Sylvia,,St. Claude,29.97048,-90.03968,Entire home/apt,102,2,117,2023-07-02,1.56,1,357,14,"20-RSTR-33821, 20-OSTR-33820"
19246281,Home in New Orleans · ★4.83 · 1 bedroom · 1 bed · 1 bath,70253854,Deidra,,Treme - Lafitte,29.96433,-90.07244,Entire home/apt,98,2,289,2023-08-29,3.92,1,248,47,"17STR-13750, 20-OSTR-0263"
19260885,Home in New Orleans · ★4.96 · 2 bedrooms · 3 beds · 1.5 baths,33780003,Lisa,,Marigny,29.96669,-90.05833,Entire home/apt,100,30,54,2022-11-17,0.74,1,45,2,"21-RSTR-02530, 19-OSTR-70003"
